symbol,timestamp,open,high,low,close,volume
AMZN,2025-11-12T14:30:00+00:00,250.24,250.37,243.75,244.2,31190100
AMZN,2025-11-13T14:30:00+00:00,243.05,243.75,236.5,237.58,41401700
AMZN,2025-11-14T14:30:00+00:00,235.06,238.73,232.89,234.69,38956700
AMZN,2025-11-17T14:30:00+00:00,233.25,234.6,229.19,232.87,59919000
AMZN,2025-11-18T14:30:00+00:00,228.1,230.2,222.42,222.55,60608400
AMZN,2025-11-19T14:30:00+00:00,223.74,223.74,218.52,222.69,58335600
AMZN,2025-11-20T14:30:00+00:00,227.05,227.41,216.74,217.14,50309000
AMZN,2025-11-21T14:30:00+00:00,216.35,222.21,215.18,220.69,68490500
AMZN,2025-11-24T14:30:00+00:00,222.56,227.33,222.27,226.28,54318400
AMZN,2025-11-25T14:30:00+00:00,226.38,230.52,223.8,229.67,39379300
AMZN,2025-11-26T14:30:00+00:00,230.74,231.75,228.77,229.16,38497900
AMZN,2025-11-28T14:30:00+00:00,231.24,233.29,230.22,233.22,20292300
AMZN,2025-12-01T14:30:00+00:00,233.22,235.8,232.25,233.88,42904000
AMZN,2025-12-02T14:30:00+00:00,235.01,238.97,233.55,234.42,45785400
AMZN,2025-12-03T14:30:00+00:00,233.35,233.38,230.61,232.38,35495100
AMZN,2025-12-04T14:30:00+00:00,232.77,233.5,226.8,229.11,45683200
AMZN,2025-12-05T14:30:00+00:00,230.32,231.24,228.55,229.53,33117400
AMZN,2025-12-08T14:30:00+00:00,229.59,230.83,226.27,226.89,35019200
AMZN,2025-12-09T14:30:00+00:00,226.84,228.57,225.11,227.92,25841700
AMZN,2025-12-10T14:30:00+00:00,228.81,232.42,228.46,231.78,38790700
AMZN,2025-12-11T14:30:00+00:00,230.71,232.11,228.69,230.28,28249600
AMZN,2025-12-12T14:30:00+00:00,229.87,230.08,225.12,226.19,35639100
AMZN,2025-12-15T14:30:00+00:00,227.93,227.93,221.5,222.54,47286100
AMZN,2025-12-16T14:30:00+00:00,223.04,223.66,221.13,222.56,39298900
AMZN,2025-12-17T14:30:00+00:00,224.66,225.19,220.99,221.27,44034400
AMZN,2025-12-18T14:30:00+00:00,225.71,229.23,224.41,226.76,50272400
AMZN,2025-12-19T14:30:00+00:00,226.76,229.13,225.58,227.35,85544400
AMZN,2025-12-22T14:30:00+00:00,228.61,229.48,226.71,228.43,32261300
AMZN,2025-12-23T14:30:00+00:00,229.06,232.45,228.73,232.14,29230200
AMZN,2025-12-24T14:30:00+00:00,232.13,232.95,231.33,232.38,11420500
AMZN,2025-12-26T14:30:00+00:00,232.04,232.99,231.18,232.52,15994700
